Anduril USB Hub,,,,,,,,,,,,,,,,,,,,
Assembly,Description/Use,Manufactuer,Manufactuerer PN,Vendor,Vendor PN,Qty Needed per 1 Assy,Qty Needed per 25 Assy,Qty per 1 Order,Cost per 1 Order,Qty ordered,Total Qty ordered,Cost ext,Link,Package/Footprint,Datasheet,Notes,Order #,Tracking #,Status,ETA
Hardware,M2x6mm SHCS,-,-,Anduril,-,1,25,100,9.97,1,100,9.97,-,-,-,pricing from McMaster,-,-,,
Hardware,"USB Housing, Lower",:D Designs,-,-,-,1,25,1,0.4,25,25,10,-,-,-,20g @ .02$/g,-,-,,
Hardware,"USB Housing, Upper",:D Designs,-,-,-,1,25,1,0.4,25,25,10,-,-,-,20g @ .02$/g,-,-,,
Tooling,Heat Set Insert Tips,-,-,Amazon,B08B17VQLD,1,1,1,19.95,1,1,19.95,-,-,-,-,114-2058126-3149821,,Ordered 12/23,12/31
Tooling,USB C Male Terminal,-,-,Amazon,B08D93ZSM4,2,2,1,7.5,2,2,15,https://www.amazon.com/gp/product/B08D93ZSM4/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&th=1,-,-,-,113-5030990-8821855,,Ordered 12/26,12/31
Tooling,USB A Male Terminal,-,-,Amazon,B0BPC7DZM1,2,2,2,10.99,1,2,10.99,https://www.amazon.com/gp/product/B0BPC7DZM1/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1,-,-,-,113-5030990-8821855,,Ordered 12/26,12/31
Consumable,"3D Printer Filament, Matte Black",Overture 3D,-,Amazon,B089S2QDHD,1,1,1,15.99,1,1,-,https://www.amazon.com/gp/product/B089S2QDHD/ref=ppx_od_dt_b_asin_title_s01?ie=UTF8&th=1,-,-,-,114-2058126-3149821,-,Ordered 12/23,12/31
Consumable,Green Dots,Avery,-,Amazon,B0000859WQ,1,1,450,3.41,1,450,3.41,https://www.amazon.com/gp/product/B0000859WQ/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&th=1,-,-,-,114-2058126-3149821,-,Ordered 12/23,12/31
Consumable,Solder Paste,Chip Quik,TS391AX50,Mouser,910-TS391AX50,1,1,15g,13.95,1,1,13.95,https://www.mouser.com/ProductDetail/Chip-Quik/TS391AX50?qs=1mbolxNpo8c66lK8U%252Bbg8g%3D%3D&countryCode=US&currencyCode=USD,-,https://www.mouser.com/datasheet/2/73/TS391AX250-1150217.pdf,ordered with v1.0 boards,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Total,352.49,14.10,,,,,,,
,,,,,,,,,,,,80,17.30,,,,,,,
